Nachname;Vorname;Geburtstag;Klasse
2014;Januar01;2014-01-07;1a
2014;Januar02;2014-01-13;1a
2014;Januar03;2014-01-19;1a
2014;Januar03;2014-01-25;1a
2014;Januar04;2014-01-31;1a
2014;Februar05;2014-02-06;1a
2014;Februar06;2014-02-12;1a
2014;Februar07;2014-02-18;1a
2014;Februar08;2014-02-24;1a
2014;März09;2014-03-02;1a
2014;März09;2014-03-08;1a
2014;März10;2014-03-14;1a
2014;März11;2014-03-20;1a
2014;März12;2014-03-26;1a
2014;April13;2014-04-01;1a
2014;April14;2014-04-07;1b
2014;April15;2014-04-13;1b
2014;April15;2014-04-19;1b
2014;April16;2014-04-25;1b
2014;Mai17;2014-05-01;1b
2014;Mai18;2014-05-07;1b
2014;Mai19;2014-05-13;1b
2014;Mai20;2014-05-19;1b
2014;Mai21;2014-05-25;1b
2014;Mai21;2014-05-31;1b
2014;Juni22;2014-06-06;1b
2014;Juni23;2014-06-12;1b
2014;Juni24;2014-06-18;1b
2014;Juni25;2014-06-24;1b
2014;Juni26;2014-06-30;1b
2014;Juli27;2014-07-06;1c
2014;Juli27;2014-07-12;1c
2014;Juli28;2014-07-18;1c
2014;Juli29;2014-07-24;1c
2014;Juli30;2014-07-30;1c
2014;August31;2014-08-05;1c
2014;August32;2014-08-11;1c
2014;August33;2014-08-17;1c
2014;August33;2014-08-23;1c
2014;August34;2014-08-29;1c
2014;September35;2014-09-04;1c
2014;September36;2014-09-10;1c
2014;September37;2014-09-16;1c
2014;September38;2014-09-22;1c
2014;September39;2014-09-28;1c
2013;Januar01;2013-01-07;2a
2013;Januar02;2013-01-13;2a
2013;Januar02;2013-01-19;2a
2013;Januar03;2013-01-25;2a
2013;Januar04;2013-01-31;2a
2013;Februar05;2013-02-06;2a
2013;Februar06;2013-02-12;2a
2013;Februar07;2013-02-18;2a
2013;Februar08;2013-02-24;2a
2013;März08;2013-03-02;2a
2013;März09;2013-03-08;2a
2013;März10;2013-03-14;2a
2013;März11;2013-03-20;2a
2013;März12;2013-03-26;2a
2013;April13;2013-04-01;2a
2013;April14;2013-04-07;2b
2013;April14;2013-04-13;2b
2013;April15;2013-04-19;2b
2013;April16;2013-04-25;2b
2013;Mai17;2013-05-01;2b
2013;Mai18;2013-05-07;2b
2013;Mai19;2013-05-13;2b
2013;Mai20;2013-05-19;2b
2013;Mai20;2013-05-25;2b
2013;Mai21;2013-05-31;2b
